Banks,Branch,Code,Country,Town,
STBC,Chitungwiza,3515,ZIMBABWE,Harare,
STBC,Gweru,3503,ZIMBABWE,Gweru,
STBC,Kwekwe,3514,ZIMBABWE,Kwekwe,
STBC,Mutare,3504,ZIMBABWE,Mutare,
STBC,Samora Machel Avenue,3115,ZIMBABWE,Harare,
STBC,Southerton,3120,ZIMBABWE,Harare,
STBC,Msasa,3108,ZIMBABWE,Harare,
STBC,Parklane,3102,ZIMBABWE,Harare,
STBC,Chegutu,3513,ZIMBABWE,Chegutu,
STBC,Belgravia,3103,ZIMBABWE,Harare,
STBC,Borrowdale,3104,ZIMBABWE,Harare,
STBC,Minerva,3125,ZIMBABWE,Harare,
STBC,Electronic Banking Services,3100,ZIMBABWE,Harare,
STBC,Westgate,3110,ZIMBABWE,Harare,
STAN, Africa Unity Square,5140,Zimbabwe,Harare,
STAN, Avondale,5101,Zimbabwe,Harare,
STAN,Nelson Mandela Avenue,5152,Zimbabwe,Harare,
STAN, Beitbridge,5569,Zimbabwe,Beitbridge,
STAN, Belmont,5305,Zimbabwe,Bulawayo,
STAN, Bindura,5502,Zimbabwe,Bindura,
STAN, Borrowdale,5128,Zimbabwe,Harare,
STAN, Bulawayo,5337,Zimbabwe,Bulawayo,
STAN, Card Centre,5196,Zimbabwe,Harare,
STAN, Chegutu,5511,Zimbabwe,Chegutu,
STAN, Chinhoyi,5537,Zimbabwe,Chinhoyi,
STAN, Chipinge,5517,Zimbabwe,Chipinge,
STAN, Chiredzi,5573,Zimbabwe,Chiredzi,
STAN, Chitungwiza,5567,Zimbabwe,Chitungwiza,
STAN, Chivhu,5501,Zimbabwe,Chivhu,
STAN, Cripps Road,5160,Zimbabwe,Harare,
STAN, Gwanda,5557,Zimbabwe,Gwanda,
STAN, Gweru,5509,Zimbabwe,Gweru,
STAN,Item Processing Centre,5195,Zimbabwe,Harare,
STAN, Highlands,5156,Zimbabwe,Harare,
STAN, Hwange,5545,Zimbabwe,Hwange,
STAN, Jason Moyo Street,5338,Zimbabwe,Bulawayo,
STAN, Kadoma,5507,Zimbabwe,Kadoma,
STAN, Kariba,5515,Zimbabwe,Kariba,
STAN, Karigamombe Centre,5124,Zimbabwe,Harare,
STAN, Karoi,5513,Zimbabwe,Karoi,
STAN, Kwekwe,5525,Zimbabwe,Kwekwe,
STAN, Marondera,5558,Zimbabwe,Marondera,
STAN, Masvingo,5505,Zimbabwe,Masvingo,
STAN, Mhangura,5565,Zimbabwe,Mhangura,
STAN, Mutare,5541,Zimbabwe,Mutare,
STAN, Mutoko,5571,Zimbabwe,Mutoko,
STAN, Mutual Centre,5116,Zimbabwe,Harare,
STAN, Mvurwi,5553,Zimbabwe,Mvurwi,
STAN, Nyanga,5563,Zimbabwe,Nyanga,
STAN, P B C Harare City Branch,5102,Zimbabwe,Harare,
STAN, Redcliff,5521,Zimbabwe,Redcliff,
STAN, Robert Mugabe Road,5132,Zimbabwe,Harare,
STAN, Rusape,5561,Zimbabwe,Rusape,
STAN, Shurugwi,5529,Zimbabwe,Shurugwi,
STAN, Southerton,5148,Zimbabwe,Harare,
STAN, Speke Avenue,5120,Zimbabwe,Harare,
STAN, Trade Services,5113,Zimbabwe,Harare,
STAN, Treasury,5197,Zimbabwe,Harare,
STAN, Victoria Falls,5549,Zimbabwe,Victoria Falls,
STAN, West End,5136,Zimbabwe,Harare,
STAN, Westgate,5110,Zimbabwe,Harare,
STAN,Masvingo,5508,Zimbabwe,Masvingo,
STAN, Zvishavane,5533,Zimbabwe,Zvishavane,
STAN,Blocked Funds,5185,Zimbabwe,Harare,Harare
STAN,Stan Chart Newlands,5600,Zimbabwe,Harare,Newlands Harare
STW,Chegutu,20524,Zimbabwe,Chegutu,Chegutu
STW,Fourth Street,20113,Zimbabwe,Harare,Fourth Street
STW,Triangle,20526,Zimbabwe,Triangle,Triangle
STW,KWAME NKRUMAH AVENUE,20102,Zimbabwe,Harare,KWAME NKRUMAH AVENUE
STW,J Nyerere Way,20104,Zimbabwe,Harare,J Nyerere Way
STW,Gweru,20501,Zimbabwe,Gweru,Gweru
STW,KWEKWE,20502,Zimbabwe,Kwekwe,KWEKWE
STW,Lobengula,20302,Zimbabwe,Bulawayo,Lobengula
STW,Zvishavane,20503,Zimbabwe,Zvishavane,Zvishavane
STW,Kadoma,20504,Zimbabwe,Kadoma,Kadoma
STW,Masvingo ZF,20505,Zimbabwe,Masvingo,Masvingo ZF
STW,Rusape,20506,Zimbabwe,Rusape,Rusape
STW,Bindura,20507,Zimbabwe,Bindura,Bindura
STW,Karoi,20508,Zimbabwe,Karoi,Karoi
STW,Chinhoyi St,20105,Zimbabwe,Harare,Chinhoyi St
STW,8th Ave Byo,20303,Zimbabwe,Bulawayo,8th Ave Byo
STW,Masvingo SE,20509,Zimbabwe,Masvingo,Masvingo SE
STW,G Silundika,20106,Zimbabwe,Harare,G Silundika
STW,Southerton,20107,Zimbabwe,Harare,Southerton
STW,Ngezi,20510,Zimbabwe,Ngezi,Ngezi
STW,Chitungwiza,20108,Zimbabwe,Chitungwiza,Chitungwiza
STW,Hwange,20511,Zimbabwe,Hwange,Hwange
STW,9th Ave Byo,20301,Zimbabwe,Bulawayo,9th Ave Byo
STW,Mutare,20512,Zimbabwe,Mutare,Mutare
STW,N Mandela,20103,Zimbabwe,Harare,N Mandela
STW,Chivhu,20513,Zimbabwe,Chivhu,Chivhu
STW,Highglen,20109,Zimbabwe,Harare,Highglen
STW,Joina City,20110,Zimbabwe,Harare,Joina City
STW,Gokwe,20514,Zimbabwe,Gokwe,Gokwe
STW,Gwanda,20515,Zimbabwe,Gwanda,Gwanda
STW,Mvuma,20527,Zimbabwe,Mvuma,Mvuma
STW,Head Office,20101,Zimbabwe,Harare,Head Office
STW,Avondale,20112,Zimbabwe,Harare,Avondale
STW,Meikles,20114,Zimbabwe,Harare,Meikles
STW,Greatermans,20115,Zimbabwe,Harare,Greatermans
STW,Harare Showgrounds,20111,Zimbabwe,Harare,Harare Showgrounds
STW,First Street,20116,Zimbabwe,Harare,First Street
STW,Beitbridge,20520,Zimbabwe,Beitbridge,Beitbridge
STW,Mvurwi,20517,Zimbabwe,Mvurwi,Mvurwi
STW,CHINHOYI,20516,Zimbabwe,Chinhoyi,CHINHOYI
STW,Borrowdale,20117,Zimbabwe,Harare,Borrowdale
TET,Tetrad,29001,,Harare,
ZB,Bindura,4610,Zimbabwe,Bindura,
ZB,Kadoma,4680,Zimbabwe,Kadoma,Kadoma
ZB,Mutare,4660,Zimbabwe,Mutare,Mutare
